name	reputation_cost	coin_cost	guild	buy_goods	sell_goods	tax	raid	explore	research	upgrade	build	set	stage	ability
The Dockmaster	1	3	merchants	2	1	0	0	0	0	0	0	starter	1	"When taking the buy goods action, goods cost -1 gold each."
The Master Trader	1	3	merchants	0	4	0	0	0	0	0	0	starter	1	"When selling goods, each earns +2 gold."
The Renowned Merchant	1	4	merchants	2	1	0	0	2	0	0	0	starter	1	Gain a glory if you earn 18+ gold selling goods this turn.
The Smuggler	1	2	merchants	4	0	0	0	0	0	0	0	starter	1	"When you take the buy goods action, treat your hold value as two higher than its current value."
The Brute	1	1	merchants	1	0	1	0	0	0	0	0	starter	1	"After buying goods, you may return one other good on that island to the supply."
The Captain	1	3	explorers	0	0	0	0	1	0	0	0	starter	1	Your support ship adds +1 die to endeavors.
The Carpenter	1	2	builders	0	0	0	0	0	0	-2	-2	starter	1	Wood provides a discount of 12 gold instead of 8.
The Convict	1	1	builders	0	0	0	2	0	0	0	-2	starter	1	"When you would exhaust the Convict, instead dismiss the Convict and one other advisor in your council room."
The Foreman	1	3	builders	0	0	0	0	0	0	-7	-4	starter	1	"At the end of your turn, before exhausting the Foreman, you may hire an advisor at a discount of -2 gold."
The Local Guide	1	2	explorers	0	0	0	0	1	0	0	0	starter	1	"During an endeavor, you may re-roll all your dice once."
The Madman	1	2	explorers	0	0	0	0	2	0	0	0	starter	1	Gain an additional glory after an endeavor at a dangerous site if you took no damage.
The Renowned Builder	1	4	builders	0	0	0	0	0	0	-6	-2	starter	1	Gain an additional glory if you buy a structure using only gold this turn.
The Renowned Explorer	1	4	explorers	0	0	0	0	8	0	0	0	starter	1	Gain an additional glory after an explore endeavor if you took no damage during the endeavor.
The Woodsman	1	1	explorers	0	0	0	0	1	0	0	0	starter	1	"When exploring a space with a ""anchor"", +1 die to the explore endeavor."
The Alchemist	1	3	builders	0	0	0	0	0	0	-2	-2	starter	1	"Once this turn, replace one good in your province warehouse with one in the supply."
The Wind Master	1	4	soldiers	0	0	2	2	0	0	0	0	starter	1	Each of your ships has Sail +2.
The Savage	1	3	soldiers	0	0	0	7	0	0	0	0	starter	1	Give an extra enmity after a raid.
The Renowned Soldier	1	4	soldiers	0	0	2	2	0	0	-2	0	starter	1	Gain an additional glory after a raid endeavor if you took no damage during the endeavor.
The Powder Monkey	1	1	soldiers	0	0	1	1	0	0	0	0	starter	1	Ship upgrades that increase raid values increase them one die more than listed.
The Advanced Scout	1	2	soldiers	0	0	0	2	0	0	0	0	starter	1	You may use up to two fortune tokens at endeavors at dangerous sites.
The Caravan Driver	1	3	merchants	2	2	0	0	0	0	0	0	dangerous waters	2	"During a buy action, you may also buy goods from the supply for 6 gold each. Place these goods in your province warehouse."
The Thug	1	4	merchants	2	0	0	0	0	0	0	0	dangerous waters	2	"Instead of spending gold to buy goods on one island, you may give one enmity to buy two goods or two enmity to buy four goods. Enmity goes on site(s) where the goods were."
The Blackmailer	1	4	builders	0	0	2	0	0	0	-4	0	dangerous waters	2	"At the end of your turn, before exhausting the Blackmailer, hire an advisor in the forum with a gold cost of 3 or less for free."
The Politician	2	5	builders	0	0	6	0	0	0	0	0	dangerous waters	2	"At the end of your turn, before exhausting the Politician, you may hire an advisor or buy a treasure."
The Blacksmith	1	2	builders	0	0	0	0	0	0	0	-4	dangerous waters	2	Iron provides a discount of 12 instead of 8.
The Bosun	1	3	explorers	0	0	0	0	1	0	0	-3	dangerous waters	2	"At the end of your turn, before exhausting the Bosun, refresh any advisor in your council room."
The Explorers' Patron	2	6	explorers	0	0	0	0	2	2	0	0	dangerous waters	2	"Research does not cost gold. At the end of your turn, before exhausting the Explorers' Patron, refresh all your other Explorers guild advisors."
The Helmsman	2	5	explorers	0	0	0	0	4	1	0	0	dangerous waters	2	Each of your ships has Sail +3.
The Historian	2	5	explorers	0	0	0	0	0	2	0	0	dangerous waters	2	"When you research, keep 1 extra card."
The Navigator	2	5	explorers	0	0	0	2	2	2	0	0	dangerous waters	2	"At the end of your turn, before exhausting the Navigator, you may move one or both of your ships to your home harbor."
The Cannoneer	1	4	soldiers	0	0	1	5	0	0	0	0	dangerous waters	2	Each success in a raid on a ship that causes damage causes an extra damage. Enmity is still based on successes (not total damage).
The Grizzled Veteran	2	5	soldiers	0	0	0	2	0	0	0	0	dangerous waters	2	"When the Grizzled Veteran becomes your active advisor, take two fortune tokens. You may use up to four fortune tokens at a dangerous site."
The Master Thief	1	2	soldiers	0	0	2	1	0	0	0	0	dangerous waters	2	"When you take the tax action, you may take the gold from any opponent's vault you are At War With. If you do, return one of their enmity tokens."
The Patriot	1	3	soldiers	0	0	2	2	0	0	0	0	dangerous waters	2	"When raiding a more prominent province you are At War With, you only pay one enmity for the raid."
The Pirate	2	5	soldiers	0	0	0	4	0	0	0	0	dangerous waters	2	Give two fewer enmity after a raid action.
The Soldier's Patron	2	6	soldiers	0	0	2	3	0	0	0	0	dangerous waters	2	"During a raid, you may add raid dice from refreshed advisors in your council room. Dismiss these advisors after the raid."
The Treasure Hunter	2	5	explorers	0	0	0	0	3	2	0	0	tombs	3	You may keep all the cards you draw when you research.
The Acolyte	1	4	explorers	0	0	4	0	1	1	0	0	tombs	3	"""+2"" dice to an endeavor for every relic on your flagship."
The Archaeologist (male)	1	4	explorers	0	0	0	0	2	2	0	0	tombs	3	"""+2"" dice to any endeavor made in a tomb."
The Archaeologist (female)	1	4	explorers	0	0	0	0	5	2	0	0	tombs	3	"""+2"" dice to any endeavor made in a tomb."
The Priest (male)	2	6	explorers	0	0	0	0	0	3	0	0	tombs	3	During a repair action you may spend 2 gold to dismiss a curse card on that ship. You may do this multiple times.
The Priest (female)	2	6	explorers	0	0	0	0	0	3	0	0	tombs	3	During a repair action you may spend 2 gold to dismiss a curse card on that ship. You may do this multiple times.
The Apprentice Trader	1	3	merchants	1	1	1	0	0	0	0	0	colonies	4	Tax +1 for each refreshed Merchant Guild advisor in your council room.
The Clerk	2	6	merchants	0	2	0	0	0	0	0	0	colonies	4	"You may sell goods from any or all warehouses you control, even if they don't have a market."
The Draper	1	4	merchants	2	2	0	0	0	0	0	0	colonies	4	"If you sell only linen, each earns +3 gold."
The Ironmonger	1	4	merchants	2	2	0	0	0	0	0	0	colonies	4	"If you sell only iron, each earns +3 gold."
The Spice Merchant	1	4	merchants	2	2	0	0	0	0	0	0	colonies	4	"If you sell only spice, each earns +3 gold."
The Lumber Merchant	1	4	merchants	2	2	0	0	0	0	0	0	colonies	4	"If you sell only wood, each earns +3 gold."
The Lord	2	5	merchants	0	3	0	0	0	0	0	0	colonies	4	"When the Lord becomes your active advisor, take a reputation token."
The Merchant's Patron	2	6	merchants	3	2	0	0	0	0	0	0	colonies	4	"At the end of your turn, before exhausting the Merchant's Patron, you may pay 2 gold to take a sail action with any ship(s) that bought goods this turn."
The Noble	2	5	merchants	3	0	3	0	0	0	0	0	colonies	4	"When the Noble becomes your active advisor, gain 2 gold for every structure you control."
The Specialist	2	6	merchants	2	0	0	0	0	0	0	0	colonies	4	"When using the buy goods action, you may pay for two goods by giving the island one good it doesn't produce. You may do this twice."
The Surveyor	2	5	builders	0	0	0	0	0	0	0	-4	colonies	4	You may substitute 8 gold for a good when building a colony. You may use this ability to substitute for multiple goods.
The Weaver	1	2	builders	0	0	0	0	0	0	0	-2	colonies	4	Linen provides a discount of 12 gold instead of 8.
The Master Builder	1	4	builders	0	0	0	0	0	0	0	-2	colonies	4	Goods provide a discount of 10 gold instead of 8.
The Contractor	2	6	builders	0	0	0	0	0	0	-2	-6	colonies	4	"When the Contractor becomes your active advisor, take one good from the supply and place it in your province warehouse."
The Apprentice Builder	1	3	builders	0	0	0	0	0	0	-2	-2	colonies	4	Additional Build -2 for each refreshed Builders guild advisor in your council room.
The Builder's Patron	2	6	builders	0	0	0	0	0	0	-6	-6	colonies	4	You may build one extra structure with a build action. The Patron's expertise only applies to the first structure built.
